Date,Ref No,Trans Description,Setl No,Buy/Cr,Sell/Dr,Balance
2024-07-05 00:00:00,973311,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-11-27 00:00:00,,Closing Balance,,,,15.0
ISIN: INE257A01026,ISIN Name: BHARAT HEAVY - EQ 2,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-06-07 00:00:00,419236,CREDIT On Market 1208870000010189,,5.0,,5.0
2024-07-05 00:00:00,830212,CREDIT On Market 1208870000010189,,2.0,,7.0
2024-07-10 00:00:00,446544,CREDIT On Market 1208870000010189,,3.0,,10.0
2024-07-18 00:00:00,95451980,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,5.0
2024-07-19 00:00:00,95451980,DEBIT On Market 1100001100021102,1211232024134.0,,5.0,0.0
2024-07-19 00:00:00,95451980,CREDIT On Market 1100001100021102,1211232024134.0,5.0,,5.0
2024-07-22 00:00:00,352215,CREDIT On Market 1208870000010189,,15.0,,20.0
2024-07-25 00:00:00,9141244,DEBIT On Market 1100001100021102,1211232024139.0,,10.0,10.0
2024-07-26 00:00:00,9141244,DEBIT On Market 1100001100021102,1211232024139.0,,10.0,0.0
2024-07-26 00:00:00,9141244,CREDIT On Market 1100001100021102,1211232024139.0,10.0,,10.0
2024-07-30 00:00:00,504039,CREDIT On Market 1208870000010189,,5.0,,15.0
2024-08-01 00:00:00,24796821,DEBIT On Market 1100001100021102,1211232024144.0,,5.0,10.0
2024-08-02 00:00:00,24796821,CREDIT On Market 1100001100021102,1211232024144.0,5.0,,15.0
2024-08-02 00:00:00,24796821,DEBIT On Market 1100001100021102,1211232024144.0,,5.0,10.0
2024-11-27 00:00:00,,Closing Balance,,,,10.0
ISIN: INE397D01024,ISIN Name: BHARTI AIRTEL-EQ 5,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-23 00:00:00,248531,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-14 00:00:00,180588,CREDIT On Market 1208870000010189,,2.0,,4.0
2024-06-19 00:00:00,381211,CREDIT On Market 1208870000010189,,1.0,,5.0
2024-06-20 00:00:00,35003513,DEBIT On Market 1100001100021102,1211232024115.0,,3.0,2.0
2024-06-21 00:00:00,35003513,DEBIT On Market 1100001100021102,1211232024115.0,,3.0,-1.0
2024-06-21 00:00:00,35003513,CREDIT On Market 1100001100021102,1211232024115.0,3.0,,2.0
2024-06-24 00:00:00,741623,CREDIT On Market 1208870000010189,,3.0,,5.0
2024-07-23 00:00:00,4481506,DEBIT On Market 1100001100021102,1211232024137.0,,2.0,3.0
2024-07-24 00:00:00,4481506,CREDIT On Market 1100001100021102,1211232024137.0,2.0,,3.0
2024-11-27 00:00:00,,Closing Balance,,,,3.0
ISIN: INE376G01013,ISIN Name: BIOCON LTD EQ,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-09-03 00:00:00,486359,CREDIT On Market 1208870000010189,,10.0,,10.0
2024-11-27 00:00:00,,Closing Balance,,,,10.0
ISIN: INE029A01011,ISIN Name: BPCL EQUITY,,,,,
2024-03-01 00:00:00,,Opening Balance,,,,0.0
2024-04-22 00:00:00,770892,CREDIT On Market 1208870000010189,,2.0,,2.0
2024-06-05 00:00:00,1268606,DEBIT On Market 1100001100021102,1211232024104.0,,2.0,0.0
